id,title,artist,score
39k3wsNvgJ9dEyhPPraXzZ,Long Live Our Lifeless King,Xanthochroid,-0.6857812515856755
6wSooKrykEc9YTRyIYXF49,Something Beautiful,Tim Halperin,-0.6849801294657367
0aSUQTpQ4JsXPKh4xpTtoK,Faces of Death,LIK,-0.6836030932375915
30ZAECF4zD6ieRvcxbbngl,A Fine Day to Die - Remastered,Bathory,-0.6834336168852635
5weBaK9j2ugb2vUnf00osY,Encontrei o Meu Lugar - Ao Vivo,Jhonas Serra;Gabriell Júnior,-0.6827510543494766
6xVbrVyIuGVgybBHrhN12E,Nocturnal Flare,Satyricon,-0.6826568784279453
1BZ9bUYt4fsF2bLVPZp2aU,Contraband (feat. Courtney LaPlante),Make Them Suffer;Courtney LaPlante,-0.6823194219559418
0KcfaHsiaCoSO6U0qXjje2,Kryptônia,Zé Ramalho,-0.6822999238971401
28xBhJANeXqB22ATSpTYiv,Ataegina - re-mastered version,Moonspell,-0.6806796881600599
1PGMfTSkrMfJBdiFyAztv0,Subterranean Initiation,Wolves In The Throne Room,-0.6804099865887969
1EhGVajl6H7weP0EtryyCQ,Black Supremacy,Samael,-0.6800983826497429
1xwny28AvZuFEgQfUN5ldD,Vem Neste Lugar - Ao Vivo,Klebson Kollins,-0.6795338079461343
41XVcLXrmbxiV0mJASJxov,Ships In The Night,Mat Kearney,-0.6793616425912266
19uV6FQniZrbWtDPvBisIB,Be Enthroned - Live,Bethel Music;Jeremy Riddle,-0.6788373777168493
16eOklSgkPJCk31PGB6fhc,Sons of War,Månegarm,-0.678537301228276
1tibdJ0jx2CVC3BuqefUUl,The Crucifixion,Portrayal of Guilt,-0.6771043864218574
7FCywPUtOExT6UHSOWjTDg,In Shrouds Decayed,Triptykon,-0.6768418720952152
1acwOlcOCrr0AxdyMS8fEm,from the edge,FictionJunction;LiSA,-0.6762514132823815
4zD7fckgtkUcy4TBnabVuT,Puritania - Live,Dimmu Borgir,-0.6762362583930759
4r27uNqLbWgXGKHzhA7n6x,Aura (Remastered),Saor,-0.6762158856554263
